"SCHOOL_CODE","MEMBER_NO","USE_YN","MEMO","REG_MEMBER_NO","REG_DATE","MOD_MEMBER_NO","MOD_DATE"
AC0001,M10000001,Y,"",M10000001,"2025-07-04 01:02:11",M10000001,"2025-07-18 13:28:21"
AC0001,M10000002,N,특이사항,M10000001,"2025-07-07 02:34:18",M10000002,"2025-09-02 15:52:32"
AC0001,M10000009,Y,,M10000001,"2025-07-16 14:24:00",,
AC0001,M10000118,Y,,M10000001,"2025-07-30 16:46:29",,
AC0001,M10000119,Y,,M10000001,"2025-07-30 16:48:44",,
AC0001,M10000154,Y,,M10000001,"2025-08-20 15:55:38",,
AC0001,M10000156,Y,,M10000001,"2025-08-21 16:53:52",,
AC0001,M10000172,Y,,M10000001,"2025-09-26 11:42:34",,
AC0350,M10000214,Y,,M10000214,"2025-09-26 11:52:49",,
DC0148,M10000061,Y,,M10000061,"2025-07-16 15:22:34",,
DC0148,M10000062,N,,M10000061,"2025-07-12 20:04:34",M10000062,"2025-09-22 15:12:27"
DC0148,M10000063,Y,,M10000061,"2025-07-16 15:22:38",,
DC0176,M10000175,Y,,M10000175,"2025-09-10 09:57:54",,
DC0314,M10000199,Y,,M10000197,"2025-09-23 14:16:54",,
DC0314,M10000200,Y,,M10000197,"2025-09-23 14:50:58",,
DC0314,M10000201,Y,,M10000197,"2025-09-23 14:38:19",,
DC0314,M10000202,Y,,M10000197,"2025-09-23 14:38:02",,
DC0314,M10000203,Y,,M10000197,"2025-09-23 14:38:33",,
DC0314,M10000204,Y,,M10000197,"2025-09-23 14:39:43",,
DC0314,M10000205,Y,,M10000197,"2025-09-23 14:40:47",,
EC0043,M10000223,Y,,M10000207,"2025-09-30 08:48:05",,
EC0043,M10000233,Y,,M10000207,"2025-09-30 11:53:56",,
LC0414,M10000064,Y,,M10000085,"2025-07-19 16:00:38",,
LC0414,M10000068,Y,,M10000085,"2025-07-19 15:58:44",,
LC0414,M10000069,Y,,M10000085,"2025-07-19 15:59:16",,
LC0414,M10000070,Y,,M10000085,"2025-07-19 16:00:35",,
LC0414,M10000071,Y,,M10000085,"2025-07-19 16:00:30",,
LC0414,M10000072,Y,,M10000085,"2025-07-19 16:00:27",,
LC0414,M10000073,Y,,M10000085,"2025-07-19 16:00:23",,
LC0414,M10000074,Y,,M10000085,"2025-07-19 15:59:57",,
LC0414,M10000085,Y,,M10000085,"2025-07-19 15:59:46",,
TC0461,M10000086,Y,,M10000077,"2025-07-21 14:31:59",,
TC0461,M10000087,Y,,M10000077,"2025-07-21 14:32:03",,
TC0461,M10000088,Y,,M10000077,"2025-07-21 14:32:07",,
TC0461,M10000089,Y,,M10000077,"2025-07-21 14:32:11",,
TC0461,M10000090,Y,,M10000077,"2025-07-24 09:40:27",,
TC0461,M10000091,Y,,M10000077,"2025-07-24 09:40:31",,
TEST0A,M10000062,Y,,M10000055,"2025-09-22 15:13:31",,
TEST0A,M10000192,Y,,M10000055,"2025-09-22 17:29:26",,
